station_id,station_name,date,temp_day_avg_C,total_rain_mm,new_snow_height_cm,sunlight_h
_1895,LJUBLJANA - BEŽIGRAD,2000-01-01,-4.8,0.0,0.0,5.2
_1895,LJUBLJANA - BEŽIGRAD,2000-01-02,-0.9,0.0,0.0,5.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-03,-0.3,0.0,0.0,2.4
_1895,LJUBLJANA - BEŽIGRAD,2000-01-04,-3.6,0.0,0.0,3.5
_1895,LJUBLJANA - BEŽIGRAD,2000-01-05,-3.0,0.0,0.0,4.6
_1895,LJUBLJANA - BEŽIGRAD,2000-01-06,-3.8,0.0,0.0,4.5
_1895,LJUBLJANA - BEŽIGRAD,2000-01-07,-3.6,0.0,0.0,3.5
_1895,LJUBLJANA - BEŽIGRAD,2000-01-08,-3.2,0.0,0.0,5.6
_1895,LJUBLJANA - BEŽIGRAD,2000-01-09,-2.4,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-10,-1.2,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-11,-0.2,0.1,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-12,-0.2,0.0,0.0,5.6
_1895,LJUBLJANA - BEŽIGRAD,2000-01-13,-1.0,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-14,-0.6,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-15,-1.0,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-16,-1.4,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-17,-3.5,0.0,0.0,3.4
_1895,LJUBLJANA - BEŽIGRAD,2000-01-18,1.0,0.0,0.0,7.4
_1895,LJUBLJANA - BEŽIGRAD,2000-01-19,1.8,0.4,0.0,7.7
_1895,LJUBLJANA - BEŽIGRAD,2000-01-20,-1.1,0.0,0.0,4.2
_1895,LJUBLJANA - BEŽIGRAD,2000-01-21,4.1,0.0,0.0,7.9
_1895,LJUBLJANA - BEŽIGRAD,2000-01-22,-3.4,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-23,-2.3,1.7,3.0,5.4
_1895,LJUBLJANA - BEŽIGRAD,2000-01-24,-3.7,1.7,4.0,8.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-25,-7.7,0.0,0.0,8.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-26,-7.9,0.0,0.0,8.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-27,-3.8,0.0,0.0,8.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-28,-2.9,0.0,0.0,6.2
_1895,LJUBLJANA - BEŽIGRAD,2000-01-29,1.5,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-01-30,4.6,0.0,0.0,5.4
_1895,LJUBLJANA - BEŽIGRAD,2000-01-31,4.5,0.0,0.0,0.6
_1895,LJUBLJANA - BEŽIGRAD,2000-02-01,5.9,0.0,0.0,1.2
_1895,LJUBLJANA - BEŽIGRAD,2000-02-02,8.1,0.0,0.0,3.0
_1895,LJUBLJANA - BEŽIGRAD,2000-02-03,6.2,0.0,0.0,7.7
_1895,LJUBLJANA - BEŽIGRAD,2000-02-04,3.0,0.0,0.0,8.4
_1895,LJUBLJANA - BEŽIGRAD,2000-02-05,5.9,0.0,0.0,7.8
_1895,LJUBLJANA - BEŽIGRAD,2000-02-06,6.4,0.0,0.0,8.2
_1895,LJUBLJANA - BEŽIGRAD,2000-02-07,6.1,0.0,0.0,8.3
_1895,LJUBLJANA - BEŽIGRAD,2000-02-08,6.5,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-02-09,6.8,0.4,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-02-10,3.6,0.0,0.0,8.5
_1895,LJUBLJANA - BEŽIGRAD,2000-02-11,2.4,0.0,0.0,4.0
_1895,LJUBLJANA - BEŽIGRAD,2000-02-12,3.9,0.0,0.0,0.4
_1895,LJUBLJANA - BEŽIGRAD,2000-02-13,2.7,1.7,0.0,5.5
_1895,LJUBLJANA - BEŽIGRAD,2000-02-14,3.3,0.0,0.0,8.4
_1895,LJUBLJANA - BEŽIGRAD,2000-02-15,4.1,0.0,0.0,5.3
_1895,LJUBLJANA - BEŽIGRAD,2000-02-16,1.6,0.1,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-02-17,1.0,32.4,8.0,4.4
_1895,LJUBLJANA - BEŽIGRAD,2000-02-18,1.2,0.0,0.0,4.6
_1895,LJUBLJANA - BEŽIGRAD,2000-02-19,1.7,0.0,0.0,3.0
_1895,LJUBLJANA - BEŽIGRAD,2000-02-20,2.7,0.0,0.0,4.8
_1895,LJUBLJANA - BEŽIGRAD,2000-02-21,1.7,0.0,0.0,7.6
_1895,LJUBLJANA - BEŽIGRAD,2000-02-22,-0.3,0.0,0.0,8.4
_1895,LJUBLJANA - BEŽIGRAD,2000-02-23,1.4,0.0,0.0,8.4
_1895,LJUBLJANA - BEŽIGRAD,2000-02-24,3.1,0.0,0.0,7.0
_1895,LJUBLJANA - BEŽIGRAD,2000-02-25,5.8,0.0,0.0,5.6
_1895,LJUBLJANA - BEŽIGRAD,2000-02-26,3.8,0.0,0.0,0.2
_1895,LJUBLJANA - BEŽIGRAD,2000-02-27,5.1,0.0,0.0,8.6
_1895,LJUBLJANA - BEŽIGRAD,2000-02-28,5.8,0.0,0.0,8.3
_1895,LJUBLJANA - BEŽIGRAD,2000-02-29,7.5,0.0,0.0,1.4
_1895,LJUBLJANA - BEŽIGRAD,2000-03-01,4.7,2.2,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-03-02,5.6,38.4,0.0,6.2
_1895,LJUBLJANA - BEŽIGRAD,2000-03-03,5.4,0.0,0.0,7.4
_1895,LJUBLJANA - BEŽIGRAD,2000-03-04,6.3,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-03-05,3.4,0.4,0.0,9.9
_1895,LJUBLJANA - BEŽIGRAD,2000-03-06,4.1,0.0,0.0,10.2
_1895,LJUBLJANA - BEŽIGRAD,2000-03-07,6.6,0.0,0.0,9.6
_1895,LJUBLJANA - BEŽIGRAD,2000-03-08,8.2,0.0,0.0,6.7
_1895,LJUBLJANA - BEŽIGRAD,2000-03-09,10.7,0.0,0.0,7.4
_1895,LJUBLJANA - BEŽIGRAD,2000-03-10,11.1,0.0,0.0,7.3
_1895,LJUBLJANA - BEŽIGRAD,2000-03-11,9.7,0.0,0.0,0.3
_1895,LJUBLJANA - BEŽIGRAD,2000-03-12,10.2,0.0,0.0,9.3
_1895,LJUBLJANA - BEŽIGRAD,2000-03-13,8.7,0.0,0.0,10.2
_1895,LJUBLJANA - BEŽIGRAD,2000-03-14,8.9,0.0,0.0,9.0
_1895,LJUBLJANA - BEŽIGRAD,2000-03-15,7.5,0.1,0.0,3.1
_1895,LJUBLJANA - BEŽIGRAD,2000-03-16,5.0,0.0,0.0,4.2
_1895,LJUBLJANA - BEŽIGRAD,2000-03-17,4.5,0.7,0.0,7.2
_1895,LJUBLJANA - BEŽIGRAD,2000-03-18,5.9,0.1,0.0,10.8
_1895,LJUBLJANA - BEŽIGRAD,2000-03-19,3.2,0.0,0.0,3.8
_1895,LJUBLJANA - BEŽIGRAD,2000-03-20,5.0,0.0,0.0,9.5
_1895,LJUBLJANA - BEŽIGRAD,2000-03-21,7.9,0.0,0.0,10.9
_1895,LJUBLJANA - BEŽIGRAD,2000-03-22,9.1,0.0,0.0,10.9
_1895,LJUBLJANA - BEŽIGRAD,2000-03-23,10.8,0.0,0.0,10.7
_1895,LJUBLJANA - BEŽIGRAD,2000-03-24,11.5,0.0,0.0,0.1
_1895,LJUBLJANA - BEŽIGRAD,2000-03-25,11.0,0.1,0.0,1.0
_1895,LJUBLJANA - BEŽIGRAD,2000-03-26,9.1,0.0,0.0,0.4
_1895,LJUBLJANA - BEŽIGRAD,2000-03-27,7.6,6.0,0.0,0.3
_1895,LJUBLJANA - BEŽIGRAD,2000-03-28,8.9,17.7,0.0,4.8
_1895,LJUBLJANA - BEŽIGRAD,2000-03-29,6.6,3.8,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-03-30,7.7,44.3,0.0,4.9
_1895,LJUBLJANA - BEŽIGRAD,2000-03-31,10.2,0.8,0.0,10.9
_1895,LJUBLJANA - BEŽIGRAD,2000-04-01,5.5,0.0,0.0,0.2
_1895,LJUBLJANA - BEŽIGRAD,2000-04-02,9.2,14.9,0.0,5.9
_1895,LJUBLJANA - BEŽIGRAD,2000-04-03,9.5,0.0,0.0,0.6
_1895,LJUBLJANA - BEŽIGRAD,2000-04-04,11.5,0.7,0.0,2.3
_1895,LJUBLJANA - BEŽIGRAD,2000-04-05,12.6,0.2,0.0,4.5
_1895,LJUBLJANA - BEŽIGRAD,2000-04-06,10.1,1.5,0.0,3.4
_1895,LJUBLJANA - BEŽIGRAD,2000-04-07,7.8,2.1,0.0,11.9
_1895,LJUBLJANA - BEŽIGRAD,2000-04-08,9.4,0.0,0.0,11.5
_1895,LJUBLJANA - BEŽIGRAD,2000-04-09,10.4,0.0,0.0,7.1
_1895,LJUBLJANA - BEŽIGRAD,2000-04-10,9.8,0.0,0.0,0.5
_1895,LJUBLJANA - BEŽIGRAD,2000-04-11,10.2,0.8,0.0,0.4
_1895,LJUBLJANA - BEŽIGRAD,2000-04-12,11.6,4.3,0.0,2.8
_1895,LJUBLJANA - BEŽIGRAD,2000-04-13,13.0,4.5,0.0,3.6
_1895,LJUBLJANA - BEŽIGRAD,2000-04-14,13.6,0.9,0.0,4.5
_1895,LJUBLJANA - BEŽIGRAD,2000-04-15,13.2,0.0,0.0,6.3
_1895,LJUBLJANA - BEŽIGRAD,2000-04-16,13.5,2.3,0.0,9.7
_1895,LJUBLJANA - BEŽIGRAD,2000-04-17,16.3,0.2,0.0,11.6
_1895,LJUBLJANA - BEŽIGRAD,2000-04-18,16.5,1.6,0.0,4.9
_1895,LJUBLJANA - BEŽIGRAD,2000-04-19,17.0,3.8,0.0,7.8
_1895,LJUBLJANA - BEŽIGRAD,2000-04-20,18.4,0.1,0.0,11.3
_1895,LJUBLJANA - BEŽIGRAD,2000-04-21,19.0,0.0,0.0,12.2
_1895,LJUBLJANA - BEŽIGRAD,2000-04-22,19.4,0.0,0.0,12.8
_1895,LJUBLJANA - BEŽIGRAD,2000-04-23,19.6,0.0,0.0,12.6
_1895,LJUBLJANA - BEŽIGRAD,2000-04-24,12.2,0.0,0.0,4.2
_1895,LJUBLJANA - BEŽIGRAD,2000-04-25,15.8,12.3,0.0,8.9
_1895,LJUBLJANA - BEŽIGRAD,2000-04-26,17.1,0.0,0.0,12.8
_1895,LJUBLJANA - BEŽIGRAD,2000-04-27,17.7,0.0,0.0,7.0
_1895,LJUBLJANA - BEŽIGRAD,2000-04-28,17.6,0.0,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-04-29,15.1,0.1,0.0,0.5
_1895,LJUBLJANA - BEŽIGRAD,2000-04-30,16.0,14.0,0.0,5.1
_1895,LJUBLJANA - BEŽIGRAD,2000-05-01,15.9,0.6,0.0,6.8
_1895,LJUBLJANA - BEŽIGRAD,2000-05-02,15.9,12.3,0.0,8.2
_1895,LJUBLJANA - BEŽIGRAD,2000-05-03,15.7,3.2,0.0,12.6
_1895,LJUBLJANA - BEŽIGRAD,2000-05-04,16.5,0.0,0.0,8.6
_1895,LJUBLJANA - BEŽIGRAD,2000-05-05,15.0,0.2,0.0,1.8
_1895,LJUBLJANA - BEŽIGRAD,2000-05-06,17.1,0.0,0.0,9.9
_1895,LJUBLJANA - BEŽIGRAD,2000-05-07,18.1,0.0,0.0,8.9
_1895,LJUBLJANA - BEŽIGRAD,2000-05-08,15.7,3.1,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-05-09,19.0,3.6,0.0,9.9
_1895,LJUBLJANA - BEŽIGRAD,2000-05-10,19.6,0.0,0.0,13.4
_1895,LJUBLJANA - BEŽIGRAD,2000-05-11,20.1,0.0,0.0,13.1
_1895,LJUBLJANA - BEŽIGRAD,2000-05-12,20.2,0.0,0.0,11.6
_1895,LJUBLJANA - BEŽIGRAD,2000-05-13,17.1,0.0,0.0,5.7
_1895,LJUBLJANA - BEŽIGRAD,2000-05-14,17.1,0.0,0.0,13.9
_1895,LJUBLJANA - BEŽIGRAD,2000-05-15,18.6,0.0,0.0,13.8
_1895,LJUBLJANA - BEŽIGRAD,2000-05-16,20.8,0.0,0.0,12.3
_1895,LJUBLJANA - BEŽIGRAD,2000-05-17,21.4,0.0,0.0,13.3
_1895,LJUBLJANA - BEŽIGRAD,2000-05-18,19.5,0.0,0.0,9.9
_1895,LJUBLJANA - BEŽIGRAD,2000-05-19,12.1,0.2,0.0,2.8
_1895,LJUBLJANA - BEŽIGRAD,2000-05-20,9.0,17.8,0.0,0.2
_1895,LJUBLJANA - BEŽIGRAD,2000-05-21,13.8,3.8,0.0,8.9
_1895,LJUBLJANA - BEŽIGRAD,2000-05-22,12.0,5.5,0.0,5.7
_1895,LJUBLJANA - BEŽIGRAD,2000-05-23,16.0,21.7,0.0,12.0
_1895,LJUBLJANA - BEŽIGRAD,2000-05-24,18.1,0.0,0.0,13.9
_1895,LJUBLJANA - BEŽIGRAD,2000-05-25,20.2,0.0,0.0,13.6
_1895,LJUBLJANA - BEŽIGRAD,2000-05-26,20.3,0.0,0.0,11.6
_1895,LJUBLJANA - BEŽIGRAD,2000-05-27,20.9,0.0,0.0,12.3
_1895,LJUBLJANA - BEŽIGRAD,2000-05-28,19.8,0.0,0.0,6.3
_1895,LJUBLJANA - BEŽIGRAD,2000-05-29,12.7,0.0,0.0,1.3
_1895,LJUBLJANA - BEŽIGRAD,2000-05-30,14.1,21.4,0.0,9.8
_1895,LJUBLJANA - BEŽIGRAD,2000-05-31,15.1,0.0,0.0,4.1
_1895,LJUBLJANA - BEŽIGRAD,2000-06-01,16.3,17.3,0.0,12.5
_1895,LJUBLJANA - BEŽIGRAD,2000-06-02,19.2,0.0,0.0,14.5
_1895,LJUBLJANA - BEŽIGRAD,2000-06-03,22.5,0.0,0.0,13.6
_1895,LJUBLJANA - BEŽIGRAD,2000-06-04,23.0,0.0,0.0,13.2
_1895,LJUBLJANA - BEŽIGRAD,2000-06-05,23.9,0.0,0.0,13.7
_1895,LJUBLJANA - BEŽIGRAD,2000-06-06,24.0,0.0,0.0,13.1
_1895,LJUBLJANA - BEŽIGRAD,2000-06-07,16.2,0.2,0.0,0.0
_1895,LJUBLJANA - BEŽIGRAD,2000-06-08,17.7,13.4,0.0,12.2
_1895,LJUBLJANA - BEŽIGRAD,2000-06-09,22.6,0.0,0.0,14.6
_1895,LJUBLJANA - BEŽIGRAD,2000-06-10,23.8,0.0,0.0,11.0
_1895,LJUBLJANA - BEŽIGRAD,2000-06-11,23.9,0.0,0.0,11.5
_1895,LJUBLJANA - BEŽIGRAD,2000-06-12,24.7,0.0,0.0,9.2
_1895,LJUBLJANA - BEŽIGRAD,2000-06-13,21.8,28.7,0.0,6.2
_1895,LJUBLJANA - BEŽIGRAD,2000-06-14,23.4,0.1,0.0,10.9
_1895,LJUBLJANA - BEŽIGRAD,2000-06-15,20.4,0.0,0.0,6.0
_1895,LJUBLJANA - BEŽIGRAD,2000-06-16,20.1,1.9,0.0,9.9
